node_id,lat,lon,info,score,date
001e06109416,41.916586,-87.666406,"Active Node:
score is 59",75,
001e06109f62,41.954825,-87.645248,This is invalid node,,
001e0610b9e5,41.994597,-87.655523,"Active Node:
score is 63",75,
001e0610b9e9,41.96904,-87.659672,This is invalid node,,
001e0610ba15,41.722457,-87.57535,This is invalid node,,
001e0610ba16,41.891964,-87.611603,"Active Node:
score is 61",75,
001e0610ba18,41.852179,-87.675825,This is invalid node,,
001e0610ba3b,41.858136,-87.616055,"Active Node:
score is 73",75,
001e0610ba46,41.878377,-87.627678,This is invalid node,,
001e0610ba57,41.881172,-87.686359,This is invalid node,,
001e0610ba81,41.741148,-87.54045,"Active Node:
score is 65",75,
001e0610ba8b,41.7806,-87.586456,This is invalid node,,
001e0610ba8f,41.810342,-87.590228,"Active Node:
score is 55",75,
001e0610bbe5,41.736495,-87.614529,This is invalid node,,
001e0610bbf9,41.768319,-87.683396,"Active Node:
score is 65",75,
001e0610bbff,41.857797,-87.685806,"Active Node:
score is 65",75,
001e0610bc07,41.878372,-87.706042,This is invalid node,,
001e0610bc10,41.736314,-87.624179,This is invalid node,,
001e0610bc12,41.75034,-87.663518,This is invalid node,,
001e0610e532,41.857959,-87.656427,"Active Node:
score is 65",75,
001e0610e537,41.961622,-87.665948,This is invalid node,,
001e0610e538,41.736593,-87.604759,This is invalid node,,
001e0610e539,41.880497,-87.745268,"Active Node:
score is 76",75,
001e0610e540,41.838618,-87.607817,This is invalid node,,
001e0610e809,41.903335,-87.6674,This is invalid node,,
001e0610e835,41.968757,-87.679174,"Active Node:
score is 54",75,
001e0610ea5a,41.914202,-87.683048,This is invalid node,,
001e0610ee33,41.965089,-87.679076,This is invalid node,,
001e0610ee36,41.751295,-87.605288,"Active Node:
score is 54",75,
001e0610ee41,41.882304,-87.671773,This is invalid node,,
001e0610ee43,41.788608,-87.598713,This is invalid node,,
001e0610ee5d,41.923996,-87.761072,"Active Node:
score is 65",75,
001e0610ee61,41.880732,-87.72566,This is invalid node,,
001e0610ee6f,41.846897,-87.673061,"Active Node:
score is 65",75,
001e0610ee82,41.921405,-87.677766,This is invalid node,,
001e0610eef2,41.965256,-87.66672,This is invalid node,,
001e0610eef4,41.912681,-87.681052,"Active Node:
score is 56",75,
001e0610ef26,41.88431,-87.647431,"Active Node:
score is 67",75,
001e0610ef27,41.846579,-87.685557,This is invalid node,,
001e0610ef29,41.743814,-87.614732,This is invalid node,,
001e0610ef68,41.857775,-87.666144,This is invalid node,,
001e0610ef73,41.718008,-87.982901,This is invalid node,,
001e0610f05c,41.924903,-87.687703,This is invalid node,,
001e0610f513,41.939121,-87.723801,This is invalid node,,
001e0610f668,41.831827,-87.675311,This is invalid node,,
001e0610f6db,41.791329,-87.598677,This is invalid node,,
001e0610f6dd,41.895355,-87.726064,This is invalid node,,
001e0610f703,41.87148,-87.67644,This is invalid node,,
001e0610f730,41.94672,-87.69068,This is invalid node,,
001e0610f732,41.895005,-87.745817,This is invalid node,,
001e0610f8f4,41.832579,-87.646133,This is invalid node,,
001e0610fb4c,41.913583,-87.682414,This is invalid node,,
001e06112e77,41.786756,-87.664343,This is invalid node,,
001e061130f4,41.896157,-87.662391,This is invalid node,,
001e06113100,41.692769,-87.609852,"Active Node:
score is 67",75,
001e06113107,41.751142,-87.71299,This is invalid node,,
001e061135cb,41.779369,-87.664421,This is invalid node,,
001e06113a48,41.943263,-87.688069,This is invalid node,,
001e06113acb,41.839066,-87.665685,"Active Node:
score is 67",75,
001e06113ace,41.83107,-87.617298,This is invalid node,,
001e06113ad6,41.906481,-87.671373,"Active Node:
score is 43",75,
001e06113ad8,41.866786,-87.666306,"Active Node:
score is 57",75,
001e06113ba6,41.883541,-87.666748,This is invalid node,,
001e06113cf1,41.884688,-87.627864,This is invalid node,,
001e06113cff,41.751142,-87.71299,"Active Node:
score is 54",75,
001e06113d22,41.800846,-87.703739,This is invalid node,,
001e06113d32,41.947066,-87.688326,This is invalid node,,
001e06113d83,41.910922,-87.649518,This is invalid node,,
001e06113dbc,41.713867,-87.536509,This is invalid node,,
001e06113f54,41.884607,-87.624577,"Active Node:
score is 54",75,
001e0611441e,41.808594,-87.665048,"Active Node:
score is 67",75,
001e061144c0,41.764122,-87.72242,"Active Node:
score is 45",75,
001e06114500,41.714494,-87.643099,"Active Node:
score is 65",75,
001e06114503,41.666078,-87.539374,This is invalid node,,
001e0611462f,41.823527,-87.641054,This is invalid node,,
001e061146ba,41.96759,-87.76257,"Active Node:
score is 56",75,
001e061146bc,41.918733,-87.668257,"Active Node:
score is 34",75,
001e061146cb,41.92617,-87.631533,"Active Node:
score is 78",75,
001e061146d6,41.903632,-87.648093,This is invalid node,,
001e06114fcf,41.954825,-87.645248,This is invalid node,,
001e06114fd4,41.794477,-87.615957,"Active Node:
score is 35",75,
001e06114fd6,41.88449,-87.636955,This is invalid node,,
001e06114fd9,41.92617,-87.631533,This is invalid node,,
001e06115365,41.78843,-87.59913,This is invalid node,,
001e06115369,41.946373,-87.727382,"Active Node:
score is 54",75,
001e0611536c,41.88575,-87.62969,This is invalid node,,
001e06115379,41.88326,-87.63387,This is invalid node,,
001e0611537d,41.794167,-87.601646,This is invalid node,,
001e06115382,41.88076,-87.62775,This is invalid node,,
